genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0L13365r	104830.75	81077.62501	15670.2263396025	2.05120831087132e-12	1.09411451301876e-08	-4.44999993585396
CAGL0G09383g	-43439.25	111773.37501	-6493.35123065111	2.53613846038315e-11	6.76388127384186e-08	-4.4499999474207
CAGL0I02486g	-37067	71520.25001	-5540.81965196325	3.98874049919208e-11	7.09198060756352e-08	-4.44999995263475
CAGL0B02475g	-22954.375	11521.81251	-3160.9619378119	1.97989475498168e-10	2.64018965576807e-07	-4.44999999238476
CAGL0L02497g	-18158	43907.75001	-2714.27963526449	3.05852076147777e-10	3.26282994834449e-07	-4.45000001337616
CAGL0K07832g	1258.74999999999	18605.62501	188.159460892673	6.2265100357317e-07	0.000553536742176548	-4.45001656282902
CAGL0G09977g	-2115.25	1462.00001	-168.038927206639	8.59881113322516e-07	0.000655229408351758	-4.45002078310902
CAGL0H08844g	-936.75	623.68751	-130.087940721234	1.78546751972523e-06	0.0011904604687768	-4.45003472018822
CAGL0J07040g	-2347.6875	1648.53126	-104.584167394683	3.32838786228127e-06	0.00197262453971203	-4.45005374972734
CAGL0J02508g	-785.6875	452.15626	-91.6690571055674	4.84839334044372e-06	0.0020799809678255	-4.45006997632995
CAGL0L12078g	-964.9375	2260.65626	-91.3809654708074	4.89214141661294e-06	0.0020799809678255	-4.45007041850734
CAGL0K02497g	915.5	995.87501	91.2930053912224	4.90560473957608e-06	0.0020799809678255	-4.45007055434732
CAGL0J07766g	1074.75	750.62501	86.4925656862682	5.72317563916964e-06	0.0020799809678255	-4.45007860773518
CAGL0J00649g	1396.625	1585.31251	85.2819361356047	5.95808087367131e-06	0.0020799809678255	-4.4500808563191
CAGL0F04895g	-2036.125	1526.81251	-84.173862674388	6.18464032116115e-06	0.0020799809678255	-4.45008299998658
CAGL0I08547g	1166.375	895.75001	83.7891816842204	6.26601128390737e-06	0.0020799809678255	-4.45008376413663
CAGL0A04125g	1052.75	1963.31251	82.1513811842938	6.62911069610676e-06	0.0020799809678255	-4.45008713851153
CAGL0L06952g	1581.875	1856.06251	75.2249148361498	8.52334718798987e-06	0.00252575188337433	-4.45010392804243
CAGL0E05148g	-702.3125	641.28126	-73.5478186234415	9.08971102407759e-06	0.00255181676854894	-4.4501087221865
CAGL0K04499g	-1396.8125	2142.65626	-70.7903197221072	1.01368518202122e-05	0.0026551286327095	-4.45011735737981
CAGL0A01243g	-19422.4375	10412.03126	-70.0318186073715	1.0453262333502e-05	0.0026551286327095	-4.45011991317896
CAGL0C02321g	-802.4375	554.59376	-68.0102142618184	1.13644352816157e-05	0.00265682729778765	-4.45012714728389
CAGL0G01540g	-4033.25	2228.87501	-67.8189130201779	1.14561357047462e-05	0.00265682729778765	-4.45012786550721
CAGL0E02343g	764.75	479.37501	64.1343659607132	1.34354784295428e-05	0.00282782015491499	-4.45014297620909
CAGL0L10780g	-7813.75	11253.12501	-63.8424586856335	1.36114820937016e-05	0.00282782015491499	-4.45014428630347
CAGL0G06380g	673.375	815.93751	62.7080591474018	1.43258021094332e-05	0.00282782015491499	-4.45014955225185
CAGL0M13937g	-420.5625	454.15626	-61.690878411592	1.50100154698191e-05	0.00282782015491499	-4.45015452293412
CAGL0K09416g	416.8125	353.96876	60.8974284547504	1.55746989284481e-05	0.00282782015491499	-4.45015857427304
CAGL0G09020g	-779.0625	582.28126	-60.3576653209679	1.59753351737377e-05	0.00282782015491499	-4.45016142197757
CAGL0F03135g	-406.5	809.12501	-59.1510602129331	1.69226386133357e-05	0.00282782015491499	-4.45016807177242
CAGL0H05665g	-524.75	1137.37501	-59.0073182432822	1.70405019783862e-05	0.00282782015491499	-4.45016889123309
CAGL0L04378g	-621.75	362.12501	-58.8726696979439	1.7151916596829e-05	0.00282782015491499	-4.45016966429775
CAGL0H08734g	2893.5	4509.00001	58.225850489783	1.77010630781034e-05	0.00282782015491499	-4.45017345289407
CAGL0L05148g	2220.125	5203.18751	56.3880284934532	1.93969093530027e-05	0.00282782015491499	-4.45018493719078
CAGL0M09977g	986.1875	722.09376	56.3336178582831	1.94503981431316e-05	0.00282782015491499	-4.4501852944019
CAGL0H00781g	-439.625	489.12501	-56.2253834271714	1.95573923658283e-05	0.00282782015491499	-4.45018600805329
CAGL0B04257g	10120.875	14732.81251	56.1668860631821	1.96155503809251e-05	0.00282782015491499	-4.45018639547623
CAGL0I00418g	-7009.75	8825.12501	-55.5054571098907	2.028969184399e-05	0.00284803200778534	-4.45019086153189
CAGL0D05500g	398.0625	386.78126	53.9966202502858	2.19490568696436e-05	0.00300195562417125	-4.45020166973678
CAGL0M07227g	824.1875	635.65626	51.7782080492882	2.47389977928361e-05	0.00309364995851191	-4.45021930685688
CAGL0H02893g	-468.25	361.00001	-51.274285753854	2.54387696928297e-05	0.00309364995851191	-4.45022363508675
CAGL0K09614g	1595.5	1199.00001	50.5741783328416	2.64560517667537e-05	0.00309364995851191	-4.45022986411528
CAGL0D05060g	863.5	692.37501	50.5465040256379	2.64973832840917e-05	0.00309364995851191	-4.45023011566307
CAGL0F08129g	746.625	489.56251	48.8561342129349	2.91965527368287e-05	0.00309364995851191	-4.45024629893626
CAGL0A02673g	724.5	915.75001	48.7922885131243	2.93056366686748e-05	0.00309364995851191	-4.45024694329261
CAGL0J10252g	600.875	378.81251	47.9620206202487	3.07756667632703e-05	0.00309364995851191	-4.45025555799895
CAGL0K01683g	-983.375	1601.43751	-47.4620752487289	3.1709166045677e-05	0.00309364995851191	-4.45026096442555
CAGL0K09284g	1039.9375	676.78126	47.1743632094778	3.22637692778557e-05	0.00309364995851191	-4.45026415383214
CAGL0K02959g	-402.875	731.50001	-46.6645276534695	3.32791551081126e-05	0.00309364995851191	-4.45026995087068
CAGL0H02101g	-418.6875	254.59376	-46.5797083366705	3.34522502998183e-05	0.00309364995851191	-4.45027093378003
CAGL0J09614g	1368.6875	1144.71876	46.5356703312538	3.35426004709894e-05	0.00309364995851191	-4.45027144622147
CAGL0K00319g	-3223.125	3500.62501	-46.2299245429517	3.41790559548358e-05	0.00309364995851191	-4.45027504438279
CAGL0B02453g	-482.625	509.43751	-46.1243756591599	3.44025556398161e-05	0.00309364995851191	-4.45027630314628
CAGL0B03795g	1121.125	1372.43751	46.019821549943	3.46258984022307e-05	0.00309364995851191	-4.45027755857886
CAGL0A04257g	862.4375	587.21876	46.017631955275	3.4630596591589e-05	0.00309364995851191	-4.45027758496174
CAGL0M02805g	925.875	752.18751	45.7859474474559	3.51326221391375e-05	0.00309364995851191	-4.45028039796133
CAGL0D03520g	-396.875	759.43751	-45.7001821770405	3.53209539167391e-05	0.00309364995851191	-4.45028145012635
CAGL0J08316g	-484.5625	427.53126	-45.4929628716964	3.57816456369431e-05	0.00309364995851191	-4.45028401684035
CAGL0F05709g	442.8125	255.90626	45.4251233046835	3.59342288946921e-05	0.00309364995851191	-4.45028486475955
CAGL0M04763g	-326.9375	210.09376	-45.2841640857375	3.6254091416541e-05	0.00309364995851191	-4.45028663877039
CAGL0K01133g	-683.0625	1031.40626	-45.1820918054463	3.64881157270165e-05	0.00309364995851191	-4.45028793373591
CAGL0H09878g	-610.875	4188.18751	-44.9681183131149	3.69853593637973e-05	0.00309364995851191	-4.45029067698221
CAGL0L08932g	-4686.625	5490.18751	-44.9254025880968	3.70857183569638e-05	0.00309364995851191	-4.45029122930842
CAGL0F04345g	-388.25	913.68751	-44.9112036601354	3.7119159607192e-05	0.00309364995851191	-4.4502914132529
CAGL0J00803g	-423.8125	519.53126	-44.4093094998861	3.83278429089692e-05	0.00311545223588584	-4.45029802874327
CAGL0F04983g	765.75	548.62501	43.9384806103969	3.95105113942894e-05	0.00311545223588584	-4.45030444154568
CAGL0F00253g	878.124999999999	1317.93751	43.6212717693415	4.0335221104279e-05	0.00311545223588584	-4.45030887932971
CAGL0C02343g	2324.75	2437.12501	43.5336466240389	4.05671283736505e-05	0.00311545223588584	-4.45031012231034
CAGL0F08371g	489.375	722.93751	43.4471440158695	4.07978336905762e-05	0.00311545223588584	-4.45031135673599
CAGL0C00319g	-291.1875	713.40626	-43.4090850693311	4.08998993054549e-05	0.00311545223588584	-4.45031190218605
CAGL0J10010g	536.8125	416.78126	43.1991003111543	4.14692742309513e-05	0.00311545223588584	-4.45031493753817
CAGL0D03036g	-306.375	557.56251	-42.6527178261936	4.30018261133349e-05	0.00313423021978325	-4.45032304624725
CAGL0M12705g	-1459.3125	1169.84376	-42.5428525095162	4.33191857922618e-05	0.00313423021978325	-4.45032471448349
