genesymbol	pre.1	pre.2	X20min.1	X20min.2
CAGL0L13365r	133493.00001	133493.00001	28662.25001	28662.25001
CAGL0G09383g	90053.75001	90053.75001	133493.00001	133493.00001
CAGL0I02486g	52986.75001	52986.75001	90053.75001	90053.75001
CAGL0B02475g	41.25001	48.00001	22999.00001	22999.00001
CAGL0L02497g	34828.75001	34828.75001	52986.75001	52986.75001
CAGL0K07832g	19235.00001	19235.00001	17976.25001	17976.25001
CAGL0G09977g	413.00001	395.75001	2529.00001	2510.25001
CAGL0H08844g	157.62501	153.00001	1089.87501	1094.25001
CAGL0J07040g	466.12501	483.25001	2798.25001	2846.50001
CAGL0J02508g	62.12501	56.50001	850.75001	839.25001
CAGL0L12078g	1774.12501	1782.25001	2752.00001	2734.25001
CAGL0K02497g	1448.25001	1459.00001	545.25001	531.00001
CAGL0J07766g	1288.50001	1287.50001	200.75001	225.75001
CAGL0J00649g	2296.50001	2270.75001	899.37501	874.62501
CAGL0F04895g	501.75001	515.75001	2571.75001	2518.00001
CAGL0I08547g	1489.25001	1468.62501	302.25001	322.87501
CAGL0A04125g	2478.62501	2500.75001	1443.87501	1430.00001
CAGL0L06952g	2636.00001	2658.00001	1086.25001	1044.00001
CAGL0E05148g	282.25001	298.00001	990.37501	994.50001
CAGL0K04499g	1465.75001	1422.75001	2846.50001	2835.62501
CAGL0A01243g	729.37501	672.25001	19793.25001	20453.25001
CAGL0C02321g	151.37501	155.37501	967.25001	944.37501
CAGL0G01540g	260.00001	164.50001	4297.50001	4193.50001
CAGL0E02343g	857.50001	866.00001	86.00001	108.00001
CAGL0L10780g	7200.25001	7492.25001	15160.00001	15160.00001
CAGL0G06380g	1146.25001	1159.00001	471.50001	487.00001
CAGL0M13937g	244.50001	243.25001	665.87501	663.00001
CAGL0K09416g	561.25001	563.50001	144.25001	146.87501
CAGL0G09020g	192.75001	192.75001	985.00001	958.62501
CAGL0F03135g	607.75001	604.00001	1012.50001	1012.25001
CAGL0H05665g	882.00001	868.00001	1399.75001	1399.75001
CAGL0L04378g	53.50001	49.00001	663.50001	682.50001
CAGL0H08734g	6012.50001	5899.00001	3046.75001	3077.75001
CAGL0L05148g	6354.25001	6272.25001	4114.75001	4071.50001
CAGL0M09977g	1210.50001	1219.87501	210.25001	247.75001
CAGL0H00781g	267.12501	271.50001	713.25001	704.62501
CAGL0B04257g	19793.25001	19793.25001	9457.25001	9887.50001
CAGL0I00418g	5191.50001	5449.00001	12408.25001	12251.75001
CAGL0D05500g	589.37501	582.25001	186.75001	188.75001
CAGL0M07227g	1065.00001	1030.50001	224.00001	223.12501
CAGL0H02893g	132.00001	121.75001	589.75001	600.50001
CAGL0K09614g	1982.00001	2011.50001	367.50001	435.00001
CAGL0D05060g	1128.00001	1120.25001	242.25001	279.00001
CAGL0F08129g	867.50001	858.25001	100.50001	132.00001
CAGL0A02673g	1281.25001	1274.75001	538.00001	569.00001
CAGL0J10252g	674.25001	684.25001	66.75001	90.00001
CAGL0K01683g	1106.00001	1113.50001	2116.25001	2070.00001
CAGL0K09284g	1193.00001	1200.50001	132.00001	181.62501
CAGL0K02959g	524.37501	535.75001	936.12501	929.75001
CAGL0H02101g	52.25001	38.25001	462.37501	465.50001
CAGL0J09614g	1842.12501	1816.00001	428.75001	492.00001
CAGL0K00319g	1971.12501	1807.00001	5124.00001	5100.37501
CAGL0B02453g	264.75001	271.50001	759.75001	741.75001
CAGL0B03795g	1921.75001	1944.25001	786.25001	837.50001
CAGL0A04257g	1007.37501	1029.50001	138.25001	173.75001
CAGL0M02805g	1224.00001	1206.25001	268.25001	310.25001
CAGL0D03520g	558.50001	563.50001	964.00001	951.75001
CAGL0J08316g	175.87501	194.62501	666.62501	673.00001
CAGL0F05709g	481.25001	473.37501	27.00001	42.00001
CAGL0M04763g	48.00001	45.25001	370.62501	376.50001
CAGL0K01133g	679.50001	700.25001	1360.50001	1385.37501
CAGL0H09878g	3882.75001	3882.75001	4479.50001	4507.75001
CAGL0L08932g	3137.25001	3156.50001	7957.50001	7709.50001
CAGL0F04345g	714.87501	724.25001	1103.25001	1112.37501
CAGL0J00803g	302.50001	312.75001	725.12501	737.75001
CAGL0F04983g	935.75001	927.25001	147.00001	184.50001
CAGL0F00253g	1738.50001	1775.50001	865.75001	892.00001
CAGL0C02343g	3543.50001	3655.50001	1245.25001	1304.25001
CAGL0F08371g	974.00001	961.25001	469.50001	487.00001
CAGL0C00319g	568.12501	567.50001	859.50001	858.50001
CAGL0J10010g	689.12501	681.25001	136.50001	160.25001
CAGL0D03036g	402.50001	406.25001	713.25001	708.25001
CAGL0M12705g	444.12501	436.25001	1939.50001	1859.50001
CAGL0D04378g	356.75001	363.87501	810.75001	793.12501
CAGL0M13783g	316.25001	306.62501	757.37501	775.25001
CAGL0I02398g	1596.00001	1527.50001	305.25001	288.50001
CAGL0B01232g	650.50001	643.12501	144.25001	120.50001
CAGL0L13387r	3102.00001	2954.50001	401.50001	425.75001
CAGL0M01056g	613.37501	611.75001	77.25001	102.75001
CAGL0L03047g	463.00001	471.50001	75.12501	88.12501
CAGL0I05962g	356.75001	335.00001	821.00001	815.75001
CAGL0H09724g	1521.00001	1561.50001	227.62501	288.50001
CAGL0M10351g	249.00001	250.00001	1094.25001	1048.25001
CAGL0L00957g	166.75001	160.50001	567.50001	551.25001
CAGL0H02783g	698.50001	704.62501	329.75001	314.25001
CAGL0I00748g	1799.00001	1794.75001	3089.50001	3169.00001
CAGL0F06809g	594.00001	572.25001	71.00001	86.00001
CAGL0L02013g	1807.00001	1819.25001	1435.25001	1446.00001
CAGL0L04598g	193.87501	188.00001	1344.12501	1415.25001
CAGL0J08184g	727.87501	746.50001	285.62501	297.87501
CAGL0G06952g	570.25001	606.25001	2776.75001	2910.25001
CAGL0C04191g	228.37501	247.75001	643.12501	642.50001
CAGL0D00880g	1516.25001	1483.75001	188.00001	258.50001
CAGL0I05830g	338.87501	348.00001	661.62501	655.00001
CAGL0I10406g	945.00001	943.50001	1510.00001	1479.75001
CAGL0H02387g	127.75001	93.75001	1582.87501	1501.00001
CAGL0M05775g	1082.87501	1068.75001	191.75001	242.25001
CAGL0I03960g	2078.50001	2100.75001	3564.25001	3476.75001
CAGL0K01551g	1261.25001	1304.50001	203.87501	254.00001
CAGL0J04312g	705.00001	719.00001	1203.00001	1180.25001
CAGL0L03806g	1179.75001	1198.75001	148.25001	209.25001
CAGL0H03289g	125.00001	102.62501	535.00001	533.75001
CAGL0C04939g	79.25001	89.25001	398.75001	408.00001
CAGL0I04114g	332.75001	343.12501	656.75001	648.62501
CAGL0H04675g	2512.12501	2554.25001	1200.50001	1273.00001
CAGL0G05335g	668.75001	670.87501	1991.25001	2080.25001
CAGL0J04576g	629.50001	606.25001	99.75001	119.00001
CAGL0H08800g	1016.50001	998.00001	558.75001	575.50001
CAGL0L02799g	760.87501	768.50001	302.25001	327.00001
CAGL0H07425g	571.25001	590.25001	213.75001	212.00001
CAGL0L06248g	309.75001	310.00001	671.12501	653.37501
CAGL0L05456g	649.25001	693.00001	4246.00001	4016.00001
CAGL0C03113g	603.25001	676.00001	1794.75001	1772.75001
CAGL0B03773g	1237.75001	1241.50001	998.00001	998.00001
CAGL0I01254g	529.50001	545.50001	184.37501	191.75001
CAGL0M08552g	1457.25001	1495.50001	2839.25001	2925.75001
CAGL0L11770g	926.50001	917.50001	514.62501	534.62501
CAGL0B01397g	510.37501	503.62501	104.00001	124.50001
CAGL0J11066g	823.75001	828.87501	107.00001	151.75001
CAGL0D00418g	488.25001	465.37501	885.75001	890.50001
CAGL0B00792g	1786.25001	1738.50001	248.75001	336.62501
CAGL0L06314g	1616.25001	1537.62501	257.50001	297.87501
CAGL0H10428g	183.50001	185.25001	458.12501	448.75001
CAGL0H04785g	199.87501	210.37501	513.25001	523.50001
CAGL0E06072g	97.50001	82.25001	409.00001	413.00001
CAGL0K03289g	1210.50001	1211.62501	1916.00001	1964.75001
CAGL0A04301g	376.00001	402.50001	916.75001	938.75001
CAGL0H05709g	1437.00001	1438.75001	140.50001	227.50001
CAGL0H08415g	432.75001	420.37501	91.25001	102.75001
CAGL0G02717g	29.00001	27.00001	269.50001	275.75001
CAGL0J01265g	1009.25001	1039.00001	178.00001	126.50001
CAGL0G02629g	289.12501	289.50001	56.87501	60.25001
CAGL0M13189g	69.50001	53.25001	531.00001	556.50001
CAGL0G01100g	299.25001	320.37501	708.25001	699.37501
CAGL0I09482g	916.12501	906.00001	1185.25001	1190.62501
CAGL0F00605g	707.25001	787.75001	5899.00001	6272.25001
CAGL0G04829g	106.75001	111.62501	449.00001	432.00001
CAGL0H05445g	10656.25001	11362.75001	20805.25001	20805.25001
CAGL0K01859g	3184.00001	3198.75001	563.75001	745.50001
CAGL0M03795g	827.00001	809.00001	420.37501	435.00001
CAGL0G07689g	260.00001	257.50001	763.25001	731.75001
CAGL0G02915g	4193.50001	3967.25001	7344.00001	7424.00001
CAGL0J00473g	1894.50001	1853.25001	283.00001	386.37501
CAGL0B00374g	281.00001	277.25001	52.25001	49.25001
CAGL0G05610g	348.25001	335.50001	628.87501	624.75001
CAGL0E05874g	1541.25001	1573.25001	239.25001	325.87501
CAGL0L00649g	67.75001	75.75001	326.00001	321.12501
CAGL0C04279g	368.75001	367.75001	128.75001	135.75001
CAGL0C03369g	1802.25001	1838.25001	313.50001	414.50001
CAGL0I03630g	638.25001	669.37501	133.00001	148.50001
CAGL0I02354g	613.75001	631.25001	191.25001	212.00001
CAGL0C03465g	236.12501	234.75001	451.50001	454.50001
CAGL0F00627g	668.75001	666.25001	384.75001	397.75001
CAGL0I05896g	220.00001	224.75001	698.62501	668.25001
CAGL0A04213g	783.25001	789.50001	463.75001	445.50001
CAGL0M11154g	1716.50001	1706.00001	250.50001	355.37501
CAGL0B02035g	1366.25001	1335.12501	2100.75001	2148.00001
CAGL0J02816g	2022.00001	1991.25001	312.75001	432.87501
CAGL0E02783g	1076.75001	1097.25001	1426.75001	1426.37501
CAGL0K07546g	17.75001	25.50001	10049.50001	10848.75001
CAGL0H02585g	419.12501	528.75001	1916.00001	1919.75001
CAGL0L05500g	706.00001	708.25001	141.50001	180.25001
CAGL0M06149g	315.00001	314.50001	52.25001	63.87501
CAGL0F08107g	755.75001	713.00001	2007.75001	2098.50001
CAGL0C01331g	482.25001	476.37501	188.00001	202.00001
CAGL0E00979g	965.00001	1011.50001	284.37501	306.12501
CAGL0F00561g	682.50001	716.75001	118.00001	141.50001
CAGL0J02266g	637.50001	646.50001	391.00001	383.25001
CAGL0K04125g	1208.00001	1191.25001	2440.87501	2350.25001
CAGL0D04884g	845.00001	884.50001	173.75001	205.00001
CAGL0J11792g	302.50001	302.25001	44.37501	56.00001
CAGL0E01925g	465.25001	460.37501	72.25001	96.75001
CAGL0I03366g	738.25001	721.75001	242.25001	271.50001
CAGL0F07799g	305.75001	309.75001	546.37501	556.50001
CAGL0D06402g	646.62501	823.75001	3069.75001	3021.75001
CAGL0I06094g	172.50001	206.25001	674.25001	686.25001
CAGL0F01947g	1468.25001	1386.00001	2555.75001	2525.50001
CAGL0E03069g	938.00001	881.75001	95.50001	121.87501
CAGL0G09449g	2342.00001	2436.75001	3627.25001	3605.00001
CAGL0L02717g	162.50001	163.50001	426.00001	413.00001
CAGL0L08624g	772.25001	755.50001	320.12501	346.00001
CAGL0F04807g	137.25001	115.75001	472.25001	481.25001
CAGL0G01991g	1197.00001	1260.87501	263.25001	302.25001
CAGL0L13156g	623.75001	587.12501	79.25001	92.62501
CAGL0I10560g	1124.75001	1160.75001	183.00001	247.25001
CAGL0H02057g	2286.75001	2393.25001	539.00001	633.25001
CAGL0L10890g	1351.25001	1430.00001	103.00001	167.00001
CAGL0M03751g	371.25001	383.25001	75.75001	89.25001
CAGL0I05126g	1831.00001	1831.00001	939.00001	864.50001
CAGL0E05522g	495.75001	481.87501	123.75001	144.00001
CAGL0G01254g	1747.75001	1772.75001	1391.75001	1383.50001
CAGL0L11638g	1331.00001	1379.00001	148.75001	231.25001
CAGL0M01430g	1152.62501	1153.50001	176.00001	252.75001
CAGL0E05478g	1193.00001	1176.50001	157.37501	236.75001
CAGL0D05940g	2554.25001	2454.37501	1236.25001	1264.25001
CAGL0D01782g	203.00001	209.25001	410.87501	410.87501
CAGL0M08910g	706.00001	696.62501	959.62501	949.25001
CAGL0M03531g	2455.50001	2396.25001	3156.50001	3156.50001
CAGL0K08910g	1068.75001	1097.25001	1541.25001	1521.00001
CAGL0H01419g	807.25001	830.75001	159.00001	206.25001
CAGL0G08041g	2379.25001	2423.00001	628.87501	769.00001
CAGL0J01870g	183.50001	185.25001	485.00001	465.50001
CAGL0L01265g	173.87501	162.00001	641.75001	679.75001
CAGL0M07161g	2832.00001	2839.25001	2580.50001	2593.25001
CAGL0H08932g	1907.25001	1920.75001	2448.50001	2408.75001
CAGL0F04411g	554.62501	552.87501	756.25001	749.50001
CAGL0M03905g	1024.50001	1026.62501	149.62501	221.87501
CAGL0J09746g	769.00001	764.25001	141.50001	191.75001
CAGL0H04081g	2985.50001	3095.75001	1304.37501	1403.50001
CAGL0K02233g	1115.50001	1072.62501	130.75001	199.00001
CAGL0J01045g	797.00001	745.12501	75.75001	102.75001
CAGL0I09350g	725.00001	741.50001	214.50001	252.75001
CAGL0L08074g	434.50001	409.87501	782.37501	770.50001
CAGL0J05412g	1746.00001	1768.75001	509.00001	612.62501
CAGL0F03113g	193.87501	184.25001	442.87501	430.75001
CAGL0I05170g	731.37501	780.37501	1384.75001	1363.25001
CAGL0L08998g	505.25001	525.75001	208.25001	217.25001
CAGL0K01991g	1704.12501	1685.75001	248.75001	372.25001
CAGL0J11264g	558.50001	575.50001	294.25001	284.62501
CAGL0I07139g	677.00001	618.25001	1754.25001	1678.25001
CAGL0M06259g	278.62501	291.50001	519.25001	514.25001
CAGL0M07678g	606.25001	585.37501	130.75001	162.25001
CAGL0G08712g	1448.25001	1401.25001	2350.25001	2423.00001
CAGL0H02079g	456.75001	466.12501	97.12501	123.50001
CAGL0I02992g	715.62501	689.12501	1081.75001	1067.00001
CAGL0M03619g	391.75001	402.50001	115.75001	132.00001
CAGL0E02717g	418.37501	420.37501	207.00001	194.75001
CAGL0L04950g	1678.25001	1615.12501	179.25001	292.87501
CAGL0C02739g	157.62501	218.37501	1009.25001	969.00001
CAGL0L13068g	444.12501	447.00001	271.00001	268.25001
CAGL0M03487g	341.37501	360.75001	75.12501	80.25001
CAGL0K05049g	410.50001	409.87501	224.00001	230.25001
CAGL0G01969g	486.50001	492.37501	250.50001	234.75001
CAGL0D06556g	2304.62501	2303.25001	1738.50001	1685.12501
CAGL0E05434g	486.50001	467.37501	212.50001	210.25001
CAGL0H10252g	524.37501	557.75001	100.50001	117.75001
CAGL0L11792g	3580.00001	3439.00001	2013.25001	2007.75001
CAGL0G03443g	2304.62501	2415.75001	535.00001	659.00001
CAGL0M12639g	435.25001	412.62501	133.00001	132.00001
CAGL0B04367g	123.75001	132.00001	326.00001	321.12501
CAGL0C01771g	104.25001	106.25001	327.00001	314.25001
CAGL0D04180g	870.00001	834.00001	139.25001	191.75001
CAGL0K12804g	922.62501	881.75001	217.25001	262.87501
CAGL0I01100g	289.12501	295.75001	719.87501	759.00001
CAGL0J04928g	1343.25001	1358.50001	298.00001	391.75001
CAGL0G07128g	327.00001	326.75001	89.50001	104.75001
CAGL0L04246g	1377.62501	1409.25001	1000.25001	985.00001
CAGL0M11104g	1346.62501	1301.00001	1864.75001	1847.75001
CAGL0E03245g	3262.50001	3059.00001	304.37501	476.00001
CAGL0E01067g	610.25001	643.75001	203.00001	218.50001
CAGL0H03069g	1030.87501	1043.62501	698.00001	722.12501
CAGL0I07997g	488.25001	512.50001	172.25001	184.50001
CAGL0B02860g	162.50001	159.00001	484.25001	458.50001
CAGL0J11132g	625.75001	584.50001	1068.75001	1059.00001
CAGL0J03344g	662.87501	688.00001	103.00001	148.50001
CAGL0H08327g	12408.25001	11491.75001	23226.75001	23921.75001
CAGL0F01925g	404.50001	380.75001	66.75001	80.25001
CAGL0L08580g	685.75001	674.12501	1089.87501	1056.25001
CAGL0K09966g	2752.00001	2798.25001	1214.62501	1354.25001
CAGL0M01232g	383.12501	389.00001	169.50001	181.62501
CAGL0H05533g	1009.25001	994.25001	639.37501	666.37501
CAGL0G03883g	388.25001	168.50001	2708.75001	2823.00001
CAGL0M13255g	267.12501	290.50001	815.25001	772.25001
CAGL0L04422g	300.50001	300.75001	506.25001	494.25001
CAGL0M00506g	1073.37501	1103.75001	413.25001	468.50001
CAGL0E04048g	2061.25001	2002.00001	2985.50001	3064.37501
CAGL0H03487g	1292.25001	1315.50001	847.50001	881.75001
CAGL0F06853g	628.62501	668.62501	119.00001	148.50001
CAGL0A01199g	578.00001	558.75001	146.50001	109.50001
CAGL0H04411g	725.00001	707.25001	274.50001	310.25001
CAGL0D03124g	1386.00001	1393.00001	210.25001	322.87501
CAGL0D02618g	429.25001	417.62501	786.75001	757.25001
CAGL0F04851g	605.00001	625.75001	1172.00001	1124.25001
CAGL0I06050g	39418.75001	41610.00001	61896.25001	61896.25001
CAGL0G05742g	634.25001	617.50001	75.75001	124.50001
CAGL0G01738g	46.62501	25.50001	422.37501	394.75001
CAGL0I07205g	340.12501	332.75001	567.50001	584.75001
CAGL0G07535g	1028.00001	1064.00001	171.25001	247.75001
CAGL0L02563g	893.75001	923.25001	483.25001	509.25001
CAGL0A04719g	1012.50001	983.37501	1477.75001	1443.50001
CAGL0K02783g	497.25001	484.50001	819.00001	847.87501
CAGL0K06699g	611.75001	645.87501	1084.75001	1115.75001
CAGL0A02024g	137.25001	126.50001	334.25001	327.00001
CAGL0H10516g	600.12501	606.25001	430.75001	435.00001
CAGL0G03641g	1221.00001	1221.50001	709.25001	757.25001
CAGL0C01221g	1245.25001	1317.50001	533.75001	506.25001
CAGL0J00891g	532.12501	545.50001	89.50001	128.87501
CAGL0I05500g	1404.87501	1384.75001	360.87501	459.75001
CAGL0E03938g	9457.25001	9563.25001	3305.75001	3910.25001
CAGL0J08844g	878.25001	908.50001	286.62501	336.62501
CAGL0G05544g	172.50001	166.87501	754.00001	698.50001
CAGL0D02838g	710.75001	661.25001	122.25001	146.87501
CAGL0C01639g	1021.87501	1050.87501	104.75001	191.75001
CAGL0L04554g	392.75001	387.75001	634.25001	655.00001
CAGL0G04213g	1897.75001	1963.50001	1154.00001	1104.12501
CAGL0F07403g	590.75001	627.12501	132.00001	160.25001
CAGL0C00737g	967.25001	1006.62501	193.75001	261.62501
CAGL0M09845g	1044.00001	1039.50001	206.25001	288.50001
CAGL0I02926g	1919.75001	1982.00001	439.00001	577.25001
CAGL0I02750g	388.25001	402.50001	645.87501	663.00001
CAGL0H10186g	398.12501	400.00001	760.75001	727.87501
CAGL0G07106g	1594.25001	1477.75001	263.25001	322.87501
CAGL0F01023g	1018.25001	1054.00001	121.00001	205.00001
CAGL0I04554g	455.00001	443.50001	1921.75001	2085.75001
CAGL0A01650g	192.50001	165.12501	1495.50001	1366.25001
CAGL0J00275g	665.50001	625.75001	195.50001	214.50001
CAGL0H02695g	148.50001	145.75001	554.50001	516.50001
CAGL0H00682g	281.00001	266.50001	659.75001	697.00001
CAGL0J07260g	1182.00001	1200.50001	828.87501	856.75001
CAGL0K08360g	835.25001	912.75001	129.12501	133.75001
CAGL0K03861g	1483.75001	1448.75001	285.62501	399.50001
CAGL0M02629g	828.50001	842.75001	1479.75001	1549.50001
CAGL0K06919g	500.50001	520.75001	239.25001	251.50001
CAGL0D01936g	295.75001	312.75001	557.50001	544.75001
CAGL0M07029g	1315.50001	1279.25001	812.37501	844.00001
CAGL0E02673g	757.37501	732.50001	126.50001	183.00001
CAGL0K02211g	698.50001	749.12501	72.25001	115.50001
CAGL0G02453g	708.25001	737.75001	180.12501	225.75001
CAGL0K00891g	164.25001	185.25001	574.50001	611.75001
CAGL0F02145g	610.25001	711.00001	2306.00001	2167.50001
CAGL0B03443g	168.75001	170.25001	316.00001	317.12501
CAGL0L02871g	1754.25001	1666.25001	222.75001	350.75001
CAGL0H09944g	208.00001	222.75001	589.12501	556.50001
CAGL0C03003g	418.37501	416.62501	173.75001	193.75001
CAGL0I00330g	224.75001	206.25001	532.25001	509.25001
CAGL0J04598g	870.00001	886.50001	334.25001	386.37501
CAGL0I10516g	1011.50001	932.00001	2491.00001	2647.50001
CAGL0M04279g	1130.00001	1065.50001	160.50001	234.75001
CAGL0M04675g	257.50001	292.25001	949.00001	888.75001
CAGL0M08822g	372.50001	199.75001	2230.50001	2371.25001
CAGL0B04125g	1619.25001	1750.50001	299.25001	369.75001
CAGL0E04092g	1966.00001	2129.75001	567.50001	550.00001
CAGL0H03773g	1308.00001	1363.50001	205.00001	310.25001
CAGL0K05753g	1227.25001	1145.50001	425.25001	437.00001
CAGL0A01958g	532.12501	554.50001	186.75001	213.37501
CAGL0K12210g	341.37501	360.75001	125.50001	121.87501
CAGL0L11660g	1103.75001	1106.75001	159.75001	258.50001
CAGL0K03377g	430.75001	402.50001	786.75001	763.25001
CAGL0L11594g	455.00001	457.50001	107.00001	140.50001
CAGL0I05236g	749.12501	700.25001	1616.25001	1708.00001
CAGL0L03872g	849.62501	850.75001	168.50001	239.25001
CAGL0H03003g	316.25001	305.75001	508.12501	520.87501
CAGL0D02706g	678.00001	678.00001	154.00001	207.87501
CAGL0A02552g	780.12501	784.25001	624.00001	616.00001
CAGL0J05940g	668.25001	702.25001	1489.25001	1578.00001
CAGL0L08756g	1264.25001	1267.37501	196.37501	310.25001
CAGL0A03718g	2038.00001	2159.75001	4043.75001	3871.75001
CAGL0L10582g	365.25001	343.12501	1109.00001	1032.25001
CAGL0K07524g	682.75001	711.00001	2212.00001	2052.00001
CAGL0J05698g	448.37501	463.12501	109.75001	140.50001
CAGL0A03344g	189.00001	181.00001	463.75001	492.00001
CAGL0J05984g	1512.50001	1503.75001	335.50001	461.00001
CAGL0E05346g	1477.75001	1445.12501	2238.00001	2161.75001
CAGL0K10164g	89.50001	25.50001	1033.37501	949.25001
CAGL0K04235g	1007.37501	1009.37501	2198.25001	2342.00001
CAGL0G09581g	2217.25001	2111.00001	3098.87501	3112.50001
CAGL0M13915g	467.12501	489.50001	108.00001	138.25001
CAGL0G07018g	374.50001	355.25001	132.00001	140.50001
CAGL0B02695g	199.87501	212.62501	392.75001	401.00001
CAGL0J00957g	1581.25001	1660.50001	250.00001	378.87501
CAGL0D02266g	143.75001	147.50001	410.87501	439.00001
CAGL0D02794g	257.50001	251.50001	400.75001	401.00001
CAGL0F01529g	971.00001	969.00001	1375.25001	1422.75001
CAGL0J02376g	419.12501	454.12501	42.50001	65.37501
CAGL0C01287g	332.75001	320.37501	140.50001	131.00001
CAGL0J00385g	486.50001	505.00001	130.75001	163.50001
CAGL0K06457g	540.25001	547.00001	140.25001	181.62501
CAGL0M00880g	831.25001	831.75001	1229.00001	1187.75001
CAGL0J07744g	1514.25001	1454.00001	769.25001	821.00001
CAGL0I08613g	363.75001	380.75001	146.50001	132.00001
CAGL0H02233g	233.75001	224.75001	395.50001	389.62501
CAGL0I02178g	1172.00001	1187.75001	566.12501	631.00001
CAGL0E01221g	983.00001	1026.62501	412.50001	461.00001
CAGL0E06534g	804.00001	817.00001	280.87501	336.62501
CAGL0E03289g	2238.00001	2163.75001	465.12501	644.75001
CAGL0K05093g	774.50001	690.50001	1633.25001	1575.25001
CAGL0E05170g	429.25001	428.75001	1446.00001	1333.12501
CAGL0F03927g	4879.00001	5063.00001	639.00001	1091.00001
CAGL0B00352g	918.25001	908.50001	171.25001	252.75001
CAGL0K04477g	2776.75001	2615.00001	1018.25001	1124.25001
CAGL0F06061g	289.12501	306.62501	653.50001	620.50001
CAGL0F05423g	390.50001	389.75001	528.00001	533.25001
CAGL0J10802g	764.25001	828.87501	240.50001	231.25001
CAGL0H01177g	247.75001	182.00001	790.75001	780.37501
CAGL0J04070g	1710.25001	1680.75001	687.50001	796.87501
CAGL0H02937g	1161.00001	1264.25001	190.87501	249.00001
CAGL0L10560g	2509.50001	2454.37501	613.37501	818.50001
CAGL0J01155g	814.75001	848.00001	511.50001	520.87501
CAGL0I06490g	692.87501	639.62501	207.00001	206.25001
CAGL0F02541g	1174.75001	1117.50001	190.00001	283.00001
CAGL0F02299g	493.25001	518.75001	124.75001	157.25001
CAGL0M13519g	1782.25001	1783.50001	213.75001	392.75001
CAGL0D05588g	634.25001	599.25001	138.25001	178.50001
CAGL0L08338g	309.75001	321.50001	742.00001	697.00001
CAGL0K10362g	322.87501	348.00001	87.62501	80.25001
CAGL0A01067g	967.25001	949.12501	620.50001	651.50001
CAGL0G07843g	1842.12501	1856.25001	275.87501	455.75001
CAGL0E01881g	150.00001	145.75001	828.87501	916.12501
CAGL0B01771g	371.25001	363.87501	164.00001	180.25001
CAGL0G09119g	236.12501	250.00001	71.00001	69.75001
CAGL0L03846g	2052.00001	2286.75001	136.50001	206.25001
CAGL0H04741g	1652.12501	1590.25001	2518.00001	2615.00001
CAGL0J11352g	655.75001	617.50001	284.00001	294.37501
CAGL0G00154g	3276.00001	3262.50001	1143.75001	1389.75001
CAGL0J08679g	1531.00001	1619.25001	447.87501	546.25001
CAGL0E06226g	1426.00001	1322.75001	2547.50001	2455.50001
CAGL0C00693g	751.75001	774.75001	1157.25001	1120.25001
CAGL0M06941g	350.25001	354.25001	86.00001	112.62501
CAGL0D03674g	1614.00001	1590.25001	429.75001	563.75001
CAGL0G00924g	806.50001	871.25001	220.62501	254.00001
CAGL0E05830g	444.12501	419.37501	701.00001	719.00001
CAGL0H08349g	330.50001	327.75001	197.25001	193.75001
CAGL0L06028g	417.50001	449.75001	856.12501	821.00001
CAGL0A04807g	563.75001	564.25001	1016.37501	965.75001
CAGL0A04543g	442.00001	460.37501	251.50001	244.87501
CAGL0B02277g	329.75001	314.50001	138.25001	143.00001
CAGL0A02046g	263.00001	290.50001	535.00001	542.25001
CAGL0H08019g	639.62501	649.25001	167.50001	220.50001
CAGL0L13398r	61896.25001	61896.25001	13554.00001	19235.00001
CAGL0H08976g	20805.25001	20805.25001	12588.00001	13554.00001
CAGL0K01705g	329.75001	326.75001	461.00001	465.50001
CAGL0I00924g	556.25001	541.25001	1158.00001	1089.50001
CAGL0K05390g	945.00001	881.75001	335.50001	362.75001
CAGL0A03652g	760.87501	831.75001	96.50001	140.50001
CAGL0K03069g	117.75001	121.75001	279.00001	291.62501
CAGL0L04312g	670.87501	629.25001	1281.25001	1220.50001
CAGL0C05049g	529.50001	570.50001	905.25001	900.50001
CAGL0H06985g	844.00001	806.50001	113.87501	188.00001
CAGL0J06050g	2694.00001	3069.75001	6551.50001	6312.00001
CAGL0I04328g	609.37501	670.87501	47.00001	81.75001
CAGL0M03135g	432.75001	470.25001	780.75001	775.25001
CAGL0L11506g	1566.50001	1558.75001	835.00001	919.50001
CAGL0G05445g	878.00001	896.25001	496.87501	536.75001
CAGL0M08030g	484.25001	486.50001	224.75001	251.50001
CAGL0L02827g	92.00001	104.00001	312.75001	296.00001
CAGL0F04279g	179.37501	195.62501	501.50001	536.75001
CAGL0L09152g	842.75001	877.00001	1596.00001	1516.25001
CAGL0K09042g	428.12501	458.25001	50.25001	83.62501
CAGL0K02387g	642.75001	603.25001	133.75001	175.25001
CAGL0G05049g	373.62501	362.75001	783.75001	737.75001
CAGL0A04631g	400.25001	411.00001	190.00001	207.87501
CAGL0H06369g	2252.75001	2212.00001	1375.25001	1468.62501
CAGL0F06919g	231.25001	230.25001	457.25001	435.00001
CAGL0M04587g	197.25001	196.50001	30.62501	43.25001
CAGL0H06853g	195.87501	201.75001	622.00001	574.00001
CAGL0J02992g	492.00001	491.00001	616.75001	618.00001
CAGL0I07513g	327.00001	341.50001	514.25001	507.50001
