genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0L04598g	260.932296109673	173.743817577976	312.299566237929	4.87352432013977e-07	0.0027267368571182	-1.84539901871922
CAGL0H04675g	-348.628759690686	448.37814649209	-177.31978192723	2.13381089043667e-06	0.004026198301404	-1.84613250344611
CAGL0G05335g	272.982716813944	288.839392364036	160.741455372571	2.75657137379996e-06	0.004026198301404	-1.8463672169465
CAGL0F00253g	-219.357881737673	304.252449530768	-132.464142848278	4.5665068496007e-06	0.004026198301404	-1.84698922852956
CAGL0H08844g	208.447713139828	139.546520293086	132.183174326008	4.59187197405155e-06	0.004026198301404	-1.84699747598256
CAGL0I08327g	-459.290269866286	725.827654768657	-128.53275424167	4.93989800218342e-06	0.004026198301404	-1.84710958889711
CAGL0K02497g	-211.805095112541	224.33632389212	-127.574839870436	5.03724541730616e-06	0.004026198301404	-1.84714061267442
CAGL0F03135g	87.273901575854	182.049017769589	109.450565105169	7.51261441630955e-06	0.00448253698239425	-1.84788959714705
CAGL0G06952g	441.316806108692	355.275814984539	106.733319472481	8.02179457977435e-06	0.00448253698239425	-1.84803586940327
CAGL0L04378g	137.621631363884	79.9858493499892	104.731937913093	8.42783781173918e-06	0.00448253698239425	-1.84815095374491
CAGL0G09977g	425.998471181378	305.637422600112	99.773696645319	9.56444377388139e-06	0.00448253698239425	-1.84846644112301
CAGL0B03795g	-281.679441530767	319.840444048739	-91.9123876216579	1.18475959684882e-05	0.00448253698239425	-1.84907500010708
CAGL0M13783g	97.2383163985904	120.0356065125	90.8988444613427	1.21952709628609e-05	0.00448253698239425	-1.84916513031423
CAGL0J07260g	-81.7791145797465	227.683312383306	-88.5026543494091	1.30753692022612e-05	0.00448253698239425	-1.84939063707956
CAGL0C02343g	-638.003866800844	600.911675338798	-88.4503763802596	1.30955364158309e-05	0.00448253698239425	-1.849395761808
CAGL0J02266g	-61.1772035037949	116.2239197555	-83.9712545983026	1.49965206165817e-05	0.00448253698239425	-1.8498709397189
CAGL0H08734g	-993.604212105435	1104.58507694511	-82.6413395742512	1.56341540965201e-05	0.00448253698239425	-1.85002707856998
CAGL0H02893g	102.604700966239	79.8119828811568	82.2715720748822	1.58180918529181e-05	0.00448253698239425	-1.85007183891932
CAGL0G01540g	783.322420282508	440.002565667314	79.8459521426575	1.71022358121072e-05	0.00448253698239425	-1.8503810088645
CAGL0E05148g	154.528094812142	143.875166631599	78.4049170476853	1.79342239995474e-05	0.00448253698239425	-1.85057838759021
CAGL0G06380g	-153.873855577633	182.627202562312	-78.3348399049749	1.79760987052836e-05	0.00448253698239425	-1.85058826400364
CAGL0I08547g	-268.599448738497	203.134555866201	-78.1622272256746	1.80798221720477e-05	0.00448253698239425	-1.85061270450301
CAGL0H02783g	-89.4213778420307	115.770954722525	-77.594494286633	1.8426872313685e-05	0.00448253698239425	-1.85069424134419
