genesymbol3.45m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	5.12177885625632	11.909706760598	57.6867410255496	5.7527497308607e-13	3.01156448410558e-09	20.0001968614716
CAGL0K07546g	10.3572928548682	10.9560755763681	50.2493514217568	2.00873264644129e-12	3.40946389924889e-09	18.9946918778898
CAGL0G06050g	10.0333872267443	7.77283818243811	49.6547331191066	2.23735206884416e-12	3.40946389924889e-09	18.9045417404616
CAGL0B02475g	9.37780928272054	11.7221299034515	46.4403606870837	4.10057016354553e-12	3.40946389924889e-09	18.3883048462933
CAGL0F08261g	6.8801051644189	7.29769393373498	46.2990437560158	4.21524341640146e-12	3.40946389924889e-09	18.3644279511881
CAGL0A01650g	4.49751430760251	9.3385542249989	45.3613552294507	5.07264826859573e-12	3.40946389924889e-09	18.2033236730996
CAGL0G05269g	8.44435573860407	7.24372590531215	45.2955871702607	5.13968459803956e-12	3.40946389924889e-09	18.1918469115874
CAGL0F05071g	3.4994487067567	6.97149328620044	45.2273676753548	5.21026001795437e-12	3.40946389924889e-09	18.1799174564696
CAGL0H08844g	4.98512474812541	9.27469390869057	42.7338187111955	8.70290168401962e-12	5.06218781287141e-09	17.7257902260632
CAGL0M06303g	-4.3388656973426	7.41342634366286	-40.507921755032	1.41162460943424e-11	7.38985483038823e-09	17.2884833396473
CAGL0C05027g	6.29963178178367	7.15898143172217	39.6578663107702	1.70989186061577e-11	8.13753080938506e-09	17.1128394693239
CAGL0G02717g	5.05678561510285	6.90017444643789	39.1985634446807	1.89971282162673e-11	8.2874971843466e-09	17.0158366778562
CAGL0L04378g	5.71333548513956	8.46054625559588	37.7980359378382	2.63901366618224e-11	1.00190515473801e-08	16.7105579470722
CAGL0K11275g	3.08666091757388	7.18963952034868	37.7345307099122	2.67940251505868e-11	1.00190515473801e-08	16.6963658638709
CAGL0G06952g	2.71538341009655	9.42475057253091	37.4434112013048	2.87354382171139e-11	1.00286679377728e-08	16.6309072762575
CAGL0H09262g	3.27607561730598	3.48548337468082	36.5886726451079	3.53982624902532e-11	1.15818690085297e-08	16.4348506676242
CAGL0L00957g	3.52141981414001	7.75312454741285	36.1646395533306	3.93268391648924e-11	1.21103531193066e-08	16.3353888822716
CAGL0C02321g	3.79068408056128	8.46425878486022	35.4361024927637	4.72572970489911e-11	1.29975277803709e-08	16.1609785347105
CAGL0M10351g	2.65585065742139	8.1034170400022	35.0144362694351	5.26486457572588e-11	1.29975277803709e-08	16.0579407962599
CAGL0G04829g	3.07121304334805	7.19428624138462	34.9579611400582	5.34211734478459e-11	1.29975277803709e-08	16.0440216761666
CAGL0L02827g	3.47610755797502	7.41491254051882	34.9544564107031	5.34695276700758e-11	1.29975277803709e-08	16.0431569506235
CAGL0G02563g	5.6933783063644	3.8236169928252	34.8719575607416	5.46218932508423e-11	1.29975277803709e-08	16.0227703242316
CAGL0E06072g	3.26948745626361	6.92527571291407	34.4166846209709	6.14982196766469e-11	1.39975295655325e-08	15.9091650156877
CAGL0E01881g	4.15661204903589	8.72634330301846	34.0735766337854	6.7315839056574e-11	1.40824717695037e-08	15.8222970584426
CAGL0D02090g	-5.0621003532444	8.11414720619714	-33.8714705375223	7.10269006573626e-11	1.40824717695037e-08	15.7706153491704
CAGL0G00154g	-3.58938784923306	7.41491129932412	-33.7264574786303	7.38294226394311e-11	1.40824717695037e-08	15.7332961281566
CAGL0K01551g	-5.36088434878899	4.68538759969508	-33.6939069723054	7.44752160873699e-11	1.40824717695037e-08	15.724891816839
CAGL0D00990g	4.1544735336	7.53230521736953	33.6085061059233	7.6199534065591e-11	1.40824717695037e-08	15.7027939068289
CAGL0J02552g	5.71004752460649	5.61660188542963	33.5210304658666	7.80117824862667e-11	1.40824717695037e-08	15.6800867927129
CAGL0E05148g	3.85754630409638	9.07650285060256	33.3683297157789	8.12910129039742e-11	1.41852817517435e-08	15.6402718953547
CAGL0G02849g	5.49184383783875	7.61509277401541	33.0772971718517	8.79728955434296e-11	1.448014795894e-08	15.563760962577
CAGL0G05698g	3.89689492475145	7.53892407562087	33.0548581265305	8.85128433020208e-11	1.448014795894e-08	15.5578273700186
CAGL0H02101g	6.88823525427982	8.73203159276863	32.9029230079009	9.22670227350384e-11	1.46369049702402e-08	15.5175199047374
CAGL0H08888g	4.06258541169969	6.88372085226121	32.0382251679951	1.17302099807909e-10	1.75539733025737e-08	15.2836872217513
CAGL0M05951g	3.58598407088096	6.12154782172195	32.0364161814696	1.17361808135641e-10	1.75539733025737e-08	15.2831899736128
CAGL0E06380g	4.76400720021243	7.62655933965099	31.6109656254696	1.32387961373689e-10	1.92514160497572e-08	15.1652855066509
CAGL0G08734g	-4.12809829071322	5.66025026002372	-31.4099888003581	1.40218687399101e-10	1.98390494198458e-08	15.1089174347803
CAGL0G02535g	-2.68537199272494	5.02972311442875	-31.234374852311	1.47483225566668e-10	2.0317754890566e-08	15.0593045168805
CAGL0I03366g	-2.91844187404701	5.75537718667452	-31.1344537106722	1.51802324579684e-10	2.03765427993499e-08	15.0309250726263
CAGL0J07040g	2.89846393316084	9.2442323848056	31.0170593293241	1.5705688702315e-10	2.04116068864768e-08	14.9974422752743
CAGL0G02079g	-5.54135821927353	8.93827934635575	-30.9561663153437	1.59861677620926e-10	2.04116068864768e-08	14.9800144161373
CAGL0G08173g	-4.17758506128817	9.66949351179678	-30.5746785707695	1.78749894992798e-10	2.17531283562122e-08	14.8698849690628
CAGL0E04708g	2.38027297356521	6.04048131047423	30.511053518771	1.82134721679244e-10	2.17531283562122e-08	14.8513570810785
CAGL0K10824g	4.98006123880403	6.37282912701578	30.4980666865178	1.82834316652022e-10	2.17531283562122e-08	14.8475695746526
CAGL0I05896g	2.87453760803937	8.05951192215204	30.14535305459	2.03023085398735e-10	2.36183522680529e-08	14.7439599809765
CAGL0E02651g	3.4387812283684	6.27474356455363	29.9905515912263	2.12654544642448e-10	2.42010117652873e-08	14.6980294276949
CAGL0J04884g	5.03487772227912	6.82683101022246	29.8568986075375	2.21378861724684e-10	2.46578370452919e-08	14.6581462378291
CAGL0K04301g	4.79095362900234	5.43813920692201	29.2283785403804	2.68097869307896e-10	2.85115395325159e-08	14.4677094085014
CAGL0K01859g	-6.29679790777246	6.15108121610243	-29.18326448442	2.71850132121043e-10	2.85115395325159e-08	14.4538543301572
CAGL0H02893g	3.54562783889295	7.75049790245918	29.1777053342444	2.72316518935204e-10	2.85115395325159e-08	14.4521452998169
CAGL0H08261g	4.25315983087105	5.61061842991491	29.0631874105463	2.82124218107853e-10	2.8959221211659e-08	14.4168538586871
CAGL0L13156g	-5.8234647232909	2.75325865863286	-28.7673087578798	3.09327730567017e-10	3.11409744138141e-08	14.3249092842761
CAGL0M13541g	2.65086728496709	8.2567364777529	28.6856589445053	3.17338073646123e-10	3.13446191610841e-08	14.2993409395165
CAGL0C04543g	3.79693340161452	7.84414052078521	28.5579742580929	3.30329916126191e-10	3.15283554175215e-08	14.259185512779
CAGL0F04631g	11.169777544645	5.87567534924741	28.5492062286853	3.31243466659729e-10	3.15283554175215e-08	14.2564203549739
CAGL0B04367g	2.84024032473331	6.4046311838489	28.4723840374131	3.39368556504972e-10	3.1688291617538e-08	14.2321505157542
CAGL0D05082g	4.03870225915285	8.85710277980773	28.3008314909441	3.58322672121968e-10	3.1688291617538e-08	14.1776759083622
CAGL0G01991g	-3.66489918756947	5.93906696035269	-28.247102406061	3.64498141517771e-10	3.1688291617538e-08	14.1605355338225
CAGL0F00605g	4.76457242409673	10.8932012796401	28.2329834286094	3.66140455476269e-10	3.1688291617538e-08	14.1560250622744
CAGL0F03113g	2.30632269704155	7.45178818386546	28.2071676134925	3.69164602578117e-10	3.1688291617538e-08	14.1477710969146
CAGL0L05258g	3.74963458933489	6.30287432713697	28.1549877106322	3.75362063371049e-10	3.1688291617538e-08	14.1310609602544
CAGL0B03927g	-2.42428065643415	6.11056546068446	-28.1456305600159	3.76485576056278e-10	3.1688291617538e-08	14.1280606038868
CAGL0A03388g	-3.27416658210088	9.68056361817483	-28.0579028184884	3.87202338439443e-10	3.1688291617538e-08	14.0998742301659
CAGL0B04257g	-4.86152590957545	9.17771546801403	-28.0562921930154	3.87402227989004e-10	3.1688291617538e-08	14.0993557879358
CAGL0K08932g	2.37622105209053	5.73328115574041	27.910114648277	4.06029459231358e-10	3.22233145676422e-08	14.0521582541105
CAGL0I10670g	-4.35576618647776	4.24661814203911	-27.8334380611132	4.16195812564962e-10	3.25191802802623e-08	14.0272861018012
CAGL0M13431g	-2.96239180385433	5.1758207279896	-27.7579816390608	4.26476663535584e-10	3.25622798770068e-08	14.0027320087063
CAGL0K07458g	3.20598919595511	8.23165897120506	27.7239798596337	4.31201150543319e-10	3.25622798770068e-08	13.991642265407
CAGL0C01287g	-2.10338959296475	4.86901191231226	-27.6900285409028	4.3597660327983e-10	3.25622798770068e-08	13.9805532434237
CAGL0M12969g	3.62595611044639	6.88145757430934	27.6503794288709	4.4162786461652e-10	3.25622798770068e-08	13.9675832826089
CAGL0H02387g	5.8265056132862	9.31005789972182	27.5243852499517	4.60132234488107e-10	3.30010349198653e-08	13.9262249243958
CAGL0M12408g	-5.95861540171639	7.11711262052432	-27.4538487702458	4.70866023109681e-10	3.30010349198653e-08	13.9029751955345
CAGL0F07117g	3.60075143822617	7.38951537810682	27.4037163380558	4.7866361788625e-10	3.30010349198653e-08	13.8864089117136
CAGL0J02508g	5.13230263671997	8.36794952914437	27.3316107816903	4.90131183661813e-10	3.30010349198653e-08	13.8625201555193
CAGL0J00803g	2.48873780167525	8.16128845585355	27.3309871592869	4.90231683223039e-10	3.30010349198653e-08	13.862313230766
CAGL0L10868g	-3.40437110295708	7.24875351894004	-27.3218551717201	4.91705964422062e-10	3.30010349198653e-08	13.8592825132421
CAGL0J04004g	6.96394372921808	8.42073684552645	27.2286826726882	5.07032111328231e-10	3.35989000354846e-08	13.8282935838276
CAGL0L02717g	3.25795947172135	7.6625346857445	27.1548362023346	5.19555860987193e-10	3.39984366533495e-08	13.803645525378
CAGL0E01463g	-2.30421331305629	8.11025899583637	-26.9706178573969	5.52319578672993e-10	3.56962098068286e-08	13.7418204946335
CAGL0F05709g	-5.65318780641435	2.87066438187476	-26.9173007361	5.62224930853749e-10	3.5797366816199e-08	13.7238362878317
CAGL0K07524g	2.18655253478218	9.47784639616441	26.8890088466928	5.67560925643651e-10	3.5797366816199e-08	13.7142766376139
CAGL0B03201g	2.47740729268792	5.85539216956888	26.8127623235521	5.82223123763117e-10	3.62849768202371e-08	13.68845585789
CAGL0A00341g	3.9141977512472	6.18396937946972	26.686651216129	6.07405043703473e-10	3.74090047504433e-08	13.6455632394607
CAGL0I03630g	-3.97591062138041	4.61550049577954	-26.6475101652321	6.1546453480944e-10	3.74646144154351e-08	13.6322034592709
CAGL0F07777g	6.01071737768817	9.61440783434285	26.5996499100103	6.25480950461144e-10	3.76131640244254e-08	13.6158370611853
CAGL0A01606g	3.6916835401241	4.97250492715004	26.5676689555601	6.32274772521383e-10	3.76131640244254e-08	13.6048820022325
CAGL0E00979g	-3.29741863809547	5.72401451634943	-26.4214098652103	6.64405696090955e-10	3.90804923487208e-08	13.5545882784292
CAGL0E03289g	-4.68833031222566	6.09007676603088	-26.1945561724065	7.1788467698441e-10	4.17569587112599e-08	13.4759490011632
CAGL0I08393g	-2.78888339879957	6.84748479369448	-26.120761693428	7.36296700238812e-10	4.17616543188163e-08	13.4502006987426
CAGL0K09416g	-3.72457202644962	5.02393797972001	-26.0448988574918	7.55772263609718e-10	4.17616543188163e-08	13.4236443407008
CAGL0C02739g	4.94972571947242	9.51045939904129	26.0049197389392	7.66265040947199e-10	4.17616543188163e-08	13.4096139620016
CAGL0G09977g	4.17690324702613	9.87648441748947	25.96090750366	7.78003502984093e-10	4.17616543188163e-08	13.3941398392875
CAGL0F03707g	2.38279028758757	7.15264881081754	25.9522487670052	7.80336259155518e-10	4.17616543188163e-08	13.3910920360687
CAGL0I01980g	2.87617577585758	8.0736786128484	25.9497999713199	7.80997396845752e-10	4.17616543188163e-08	13.3902298710403
CAGL0H03685g	-5.21698598418644	7.23470398819372	-25.9481466274314	7.81444125818146e-10	4.17616543188163e-08	13.3896477142086
CAGL0J08679g	-3.48917525936423	6.07105533922517	-25.899363324181	7.94753600209186e-10	4.17616543188163e-08	13.3724517217187
CAGL0A04257g	-3.79125104472173	5.38502077624103	-25.8859856862942	7.98447173568293e-10	4.17616543188163e-08	13.3677297185202
CAGL0L04598g	4.96216556701254	9.41133873085626	25.8390897053761	8.11546268234359e-10	4.17616543188163e-08	13.3511546234718
CAGL0E01859g	4.14970773815217	6.42606513228627	25.8303987534112	8.13999920082916e-10	4.17616543188163e-08	13.3480791151687
CAGL0H06699g	3.22245529180748	8.213418764474	25.7865045578446	8.26518581878703e-10	4.17616543188163e-08	13.3325281336663
CAGL0G06314g	2.02517893719863	6.84051592809946	25.7819340368257	8.27834320927344e-10	4.17616543188163e-08	13.3309071508218
CAGL0I05588g	-4.0925997939146	5.08161287469164	-25.7649697083272	8.32738273128702e-10	4.17616543188163e-08	13.3248877283495
CAGL0H02717g	3.09780668938155	4.06751587208615	25.7481703220621	8.37626304388866e-10	4.17616543188163e-08	13.3189224079966
CAGL0G07535g	-4.46147087644311	5.17940897408788	-25.5262716704919	9.05266933098357e-10	4.44503144525148e-08	13.2397124344397
CAGL0L05456g	2.13057673061814	9.1811185821443	25.5160185510857	9.08535558055221e-10	4.44503144525148e-08	13.2360336443681
CAGL0I07865g	5.56032023466155	8.58668508588607	25.4089880583218	9.43448584488224e-10	4.54923346350206e-08	13.1975315174309
CAGL0E05984g	9.6639942432854	9.37332646874606	25.3977082099405	9.47213844358596e-10	4.54923346350206e-08	13.1934631603201
CAGL0G03003g	-4.20855921535826	5.35247314990515	-25.3030326120983	9.79481918769302e-10	4.64685419323056e-08	13.1592355772009
CAGL0H02057g	-3.80729140471701	6.53405766614418	-25.2656837671234	9.92545112085676e-10	4.64685419323056e-08	13.1456933442484
CAGL0K03135g	-6.02053308698612	7.31796735662827	-25.2507411232579	9.97825475855938e-10	4.64685419323056e-08	13.1402690122284
CAGL0L04510g	-3.72739253998723	7.28389095884686	-25.2360540563249	1.00304589080239e-09	4.64685419323056e-08	13.1349339358154
CAGL0E06424g	2.53961054462034	9.54949825318214	25.1729298869651	1.02583029340851e-09	4.71072068946804e-08	13.1119642490778
CAGL0E05962g	3.3635522162428	5.37023550160629	25.1456754386815	1.03584453340089e-09	4.71534446291622e-08	13.1020268451081
CAGL0I02398g	-6.27265837042932	4.77706521315858	-25.0369053663469	1.0769039002558e-09	4.8285053659922e-08	13.0622466744743
CAGL0L03674g	2.00174885865149	6.57894144457847	25.0146655048464	1.08551949921934e-09	4.8285053659922e-08	13.0540890571228
CAGL0M09977g	-4.62121478159323	5.10816079715191	-25.0073409361643	1.08837370236309e-09	4.8285053659922e-08	13.0514006114835
CAGL0D04884g	-4.08761283268048	4.99305575268625	-24.9570365983047	1.10820232127953e-09	4.83859158799186e-08	13.0329127586152
CAGL0F00253g	-3.22670969332518	6.50131641805346	-24.9547007217295	1.10913274223309e-09	4.83859158799186e-08	13.0320532618548
CAGL0F03267g	2.49451076901396	7.5553098688846	24.9053570448493	1.12899098265102e-09	4.88451883816372e-08	13.0138759161185
CAGL0J04070g	-3.06117531943625	6.54959430753718	-24.8570721851035	1.14880535566756e-09	4.90415492924332e-08	12.9960495050374
CAGL0B03993g	-3.5325744557021	7.74225680721825	-24.8167803171571	1.16563498203647e-09	4.90415492924332e-08	12.9811443334704
CAGL0K03421g	6.03061136004813	8.71460150480982	24.8112581087869	1.16796279160203e-09	4.90415492924332e-08	12.979099391612
CAGL0K09614g	-3.72978107420364	6.64264783618365	-24.804067418018	1.17100165454711e-09	4.90415492924332e-08	12.9764358263173
CAGL0J00957g	-4.86971286138454	5.70476945778287	-24.708435410239	1.21226140314472e-09	5.01001680462319e-08	12.9409295750814
CAGL0F04895g	5.02960901655691	10.61658839135	24.7011190975346	1.21548372710173e-09	5.01001680462319e-08	12.9382068472275
CAGL0I02926g	-3.75160781268619	6.44438476962498	-24.6582420400563	1.23456001489282e-09	5.01001680462319e-08	12.9222322284148
CAGL0H07601g	3.65444656019873	3.61279880167892	24.6274839093979	1.24844893560588e-09	5.02740782915137e-08	12.9107536010842
CAGL0K00891g	2.88777770234426	7.57057701616939	24.5016614949088	1.30709592290625e-09	5.22339477588873e-08	12.8636306832451
CAGL0K07678g	3.58083985976115	4.90368131078411	24.427766973642	1.34295850526394e-09	5.29765366387572e-08	12.8358297618402
CAGL0J00649g	-3.20939538892487	6.779530226702	-24.4217674362397	1.34591774077454e-09	5.29765366387572e-08	12.8335684762488
CAGL0M13981g	2.47585239129745	7.22115205380821	24.3306072503244	1.3917829262308e-09	5.43730120807331e-08	12.7991329616509
CAGL0L08624g	-2.15141263196929	6.04685815126972	-24.2788647509934	1.41858507444327e-09	5.46146836013926e-08	12.7795234130302
CAGL0J07238g	-5.8031193395114	8.36986991728571	-24.2744907198744	1.42087687953608e-09	5.46146836013926e-08	12.7778635968331
CAGL0G01738g	7.10539996185143	8.85741896953003	24.2585445912668	1.42926679147866e-09	5.46146836013926e-08	12.7718096916988
CAGL0H05643g	-4.43105274699236	7.67861609839978	-24.2289875508677	1.44496358666697e-09	5.48143795376925e-08	12.7605767281718
CAGL0H00528g	3.11015883314752	6.41245062707142	24.1901832499125	1.46586218667479e-09	5.52071118506657e-08	12.7458062532675
CAGL0A02189g	-3.45410757290448	7.30869324145442	-24.1345567588338	1.49640744362459e-09	5.59549497669622e-08	12.7245865948069
CAGL0M13783g	2.18777506144925	7.93199118325905	24.0752053693479	1.52977830925099e-09	5.64617865740952e-08	12.7018860431936
CAGL0H03311g	3.77444567213784	3.19726310849632	24.0598888849362	1.53852348819006e-09	5.64617865740952e-08	12.6960177545149
CAGL0M07227g	-3.15909026301126	5.79970637019513	-24.0419042851819	1.54886287937286e-09	5.64617865740952e-08	12.6891219235508
CAGL0I04356g	-2.66384074973047	9.11034381320758	-24.02425953748	1.55908179349763e-09	5.64617865740952e-08	12.6823508391891
CAGL0M01870g	4.05506208907489	2.65981853590072	24.016003293513	1.5638890264076e-09	5.64617865740952e-08	12.6791806522393
CAGL0E05588g	2.71025277512205	7.15539824910995	23.9451023533318	1.60585449414925e-09	5.75797827182966e-08	12.6519066635495
CAGL0L04532g	-3.31617630065232	6.87938077225307	-23.896149047303	1.6355575509147e-09	5.77228736873863e-08	12.6330231631176
CAGL0A04521g	-5.02120605496837	8.80474781909164	-23.8948728605729	1.63633999631956e-09	5.77228736873863e-08	12.6325303074455
CAGL0A03652g	-4.77698753133432	4.63588612085741	-23.884160594652	1.64292419855216e-09	5.77228736873863e-08	12.6283921451123
CAGL0K04587g	-4.16938372324224	5.55447417602714	-23.8430462829829	1.66846879949515e-09	5.79471344570963e-08	12.6124905362341
CAGL0B04961g	-2.70449394004976	6.12595991530167	-23.8052162755601	1.69236221043433e-09	5.79471344570963e-08	12.5978323578871
CAGL0G00924g	-4.05308761906659	5.07098744350401	-23.7942627985073	1.6993510476279e-09	5.79471344570963e-08	12.5935833496786
CAGL0G03311g	-2.83166556449828	8.1398305754694	-23.777604918889	1.71004096660773e-09	5.79471344570963e-08	12.5871173754367
CAGL0L06006g	2.89096616875046	7.15942587008042	23.770960708009	1.71432555645989e-09	5.79471344570963e-08	12.5845369404896
CAGL0L04268g	3.24167202462119	7.86276556447538	23.7687988417008	1.71572222365806e-09	5.79471344570963e-08	12.5836971571196
CAGL0F08547g	-3.57579688251037	9.15985561069302	-23.7507353012439	1.72744154169103e-09	5.79689517355931e-08	12.5766770193646
CAGL0C01771g	3.57996850566133	7.4295093205219	23.7238667027482	1.74503792732033e-09	5.8186455729439e-08	12.5662239968188
CAGL0M00638g	-3.08726212489105	6.36797646947444	-23.644322336796	1.79830752314873e-09	5.84163043534763e-08	12.5352010315286
CAGL0H04675g	-2.50691645025907	7.31343786237459	-23.6337603285515	1.80551529630072e-09	5.84163043534763e-08	12.5310730951637
CAGL0G08712g	2.20634230062752	9.90817339862778	23.6336839153371	1.80556755908752e-09	5.84163043534763e-08	12.5310432232649
CAGL0F00869g	4.66569941194376	7.4016774725954	23.6231716021896	1.81277346070072e-09	5.84163043534763e-08	12.5269326722003
CAGL0M09801g	-3.16841679181512	4.62131465121467	-23.5954753077857	1.83191160786491e-09	5.84163043534763e-08	12.5160931255298
