genesymbol3.30m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	4.83026271538707	11.909706760598	54.4033864342927	9.78316606075224e-13	5.1214874328038e-09	19.4689696833877
CAGL0G06050g	9.68412252806187	7.77283818243811	47.9262395397125	3.08349094169563e-12	5.70993887269008e-09	18.5489339876562
CAGL0K07546g	9.8138569995227	10.9560755763681	47.6128227792744	3.2721712737479e-12	5.70993887269008e-09	18.4996191722689
CAGL0B02475g	8.99462625334684	11.7221299034515	44.5427791137334	5.98125074375731e-12	7.82796191089238e-09	17.9898166977967
CAGL0A01650g	4.07215747300314	9.3385542249989	41.0712604895805	1.24593849146523e-11	1.3044976005641e-08	17.3487435562508
CAGL0H08844g	4.40501013865928	9.27469390869057	37.7609215811962	2.66253542900184e-11	1.98433138742361e-08	16.6633355734028
CAGL0G02717g	4.8435564225539	6.90017444643789	37.545679840633	2.80361924255097e-11	1.98433138742361e-08	16.6159759162347
CAGL0G05269g	6.8162677299169	7.24372590531215	36.5625109473804	3.56276165810276e-11	1.98433138742361e-08	16.3949802458571
CAGL0H09262g	3.27303919127676	3.48548337468082	36.5547604858746	3.56958794293709e-11	1.98433138742361e-08	16.3932070458888
CAGL0C05027g	5.74542255538663	7.15898143172217	36.1689710594312	3.92843410855844e-11	1.98433138742361e-08	16.3043151380358
CAGL0G06952g	2.60571039159215	9.42475057253091	35.9310899893982	4.1695597443476e-11	1.98433138742361e-08	16.2488827015253
CAGL0M10351g	2.67391458722676	8.1034170400022	35.2525890876962	4.95245033298018e-11	2.1605064577626e-08	16.0881126479419
CAGL0F05071g	2.67657636244364	6.97149328620044	34.5924496683353	5.87357647860411e-11	2.36524406657635e-08	15.9278037799671
CAGL0L04378g	4.98404617541991	8.46054625559588	32.9732355021622	9.05081491923546e-11	3.20181045917266e-08	15.51745886189
CAGL0G04829g	2.85677921775356	7.19428624138462	32.5171765912682	1.02617103404042e-10	3.20181045917266e-08	15.3972639990593
CAGL0E06072g	3.08610111202776	6.92527571291407	32.4862444349208	1.03501253108758e-10	3.20181045917266e-08	15.389035343321
CAGL0C02321g	3.47337161007317	8.46425878486022	32.4697995808145	1.03974742704747e-10	3.20181045917266e-08	15.3846566469806
CAGL0K01551g	-5.11520807990361	4.68538759969508	-32.1497973048404	1.13683805992834e-10	3.20870001270733e-08	15.2988955903545
CAGL0L00957g	3.11223265026766	7.75312454741285	31.9623271133674	1.19836435620179e-10	3.20870001270733e-08	15.2481574993856
CAGL0J02552g	5.43084436047378	5.61660188542963	31.881958683937	1.22586437925781e-10	3.20870001270733e-08	15.2262926330421
CAGL0D00990g	3.84016133537821	7.53230521736953	31.0658100584774	1.54850702767454e-10	3.64366842754166e-08	15.0003141109116
CAGL0H02101g	6.48949564603392	8.73203159276863	30.9982699079412	1.57916479770626e-10	3.64366842754166e-08	14.9812859097602
CAGL0E01881g	3.77573670789169	8.72634330301846	30.951373991033	1.60084763769738e-10	3.64366842754166e-08	14.9680438610119
CAGL0I03366g	-2.86532606708063	5.75537718667452	-30.5678048943959	1.7911218878881e-10	3.90688461795591e-08	14.8588033824193
CAGL0E06380g	4.50450573355729	7.62655933965099	29.889076552374	2.19242712198884e-10	4.59094239344463e-08	14.6613411931739
CAGL0J07040g	2.77858113514517	9.2442323848056	29.7341688244344	2.29740865321876e-10	4.62574396138471e-08	14.61551020435
CAGL0B03201g	2.731879551726	5.85539216956888	29.5668933135044	2.41707485097138e-10	4.68643957216117e-08	14.5656947595111
CAGL0L02827g	2.89969218034128	7.41491254051882	29.1582358231863	2.73956929662305e-10	4.81603299995103e-08	14.4425521671667
CAGL0E05148g	3.36920178588175	9.07650285060256	29.1440794763522	2.7515655870166e-10	4.81603299995103e-08	14.438249234923
CAGL0G02849g	4.83718221701039	7.61509277401541	29.1342795590881	2.75990429796621e-10	4.81603299995103e-08	14.435269003642
CAGL0K11275g	2.36065120793926	7.18963952034868	28.8590382552907	3.00594901817241e-10	5.07617519681696e-08	14.351071673944
CAGL0F08261g	4.23216367362024	7.29769393373498	28.4799616321146	3.38557368258872e-10	5.53858694635999e-08	14.2335258186321
CAGL0D05082g	4.01974553948864	8.85710277980773	28.167994036135	3.73806565206487e-10	5.92993142077563e-08	14.1353831838274
CAGL0I03630g	-4.15010871897267	4.61550049577954	-27.8150277526225	4.18678604176921e-10	6.43685801004691e-08	14.0227768436374
CAGL0K09614g	-4.16728237356535	6.64264783618365	-27.7135710883254	4.32659011384527e-10	6.43685801004691e-08	13.9900965025022
CAGL0I05896g	2.63594952110638	8.05951192215204	27.6432733826806	4.42649261435891e-10	6.43685801004691e-08	13.9673699607021
CAGL0H02717g	3.31292059196285	4.06751587208615	27.5361416055164	4.5836974667082e-10	6.48531249681552e-08	13.9326040891749
CAGL0I10670g	-4.292435903321	4.24661814203911	-27.4287562122324	4.74751166007531e-10	6.54032198434059e-08	13.8975958557752
CAGL0M13431g	-2.90250415143838	5.1758207279896	-27.1968268471776	5.12393066974435e-10	6.71587311157673e-08	13.821433335675
CAGL0G00154g	-2.87842839685141	7.41491129932412	-27.0461697117612	5.38613174059928e-10	6.71587311157673e-08	13.7715505948862
CAGL0H08888g	3.42605693865065	6.88372085226121	27.0184556176355	5.43596695310387e-10	6.71587311157673e-08	13.7623390318428
CAGL0L05456g	2.25318593912111	9.1811185821443	26.9843997615517	5.49790732862754e-10	6.71587311157673e-08	13.7510044699363
CAGL0L13156g	-5.45334994991438	2.75325865863286	-26.9389803541733	5.58173683636032e-10	6.71587311157673e-08	13.7358618265773
CAGL0F00605g	4.53788753625328	10.8932012796401	26.8897378837138	5.67422722729975e-10	6.71587311157673e-08	13.719410873402
CAGL0M07227g	-3.52056813895774	5.79970637019513	-26.7928913641115	5.8611296116309e-10	6.71587311157673e-08	13.6869535512039
CAGL0L08624g	-2.37238461785764	6.04685815126972	-26.7725514010672	5.9012447589786e-10	6.71587311157673e-08	13.6801193971722
CAGL0H02893g	3.23368574902406	7.75049790245918	26.6106693132319	6.23158842739939e-10	6.94092881222039e-08	13.625511125848
CAGL0K10824g	4.31823867598414	6.37282912701578	26.4450424991344	6.59093531366231e-10	7.05635974350652e-08	13.5692383813554
CAGL0M06303g	-2.83190594112116	7.41342634366286	-26.4388511381684	6.60480663671097e-10	7.05635974350652e-08	13.5671268984806
CAGL0A04257g	-3.83886266607075	5.38502077624103	-26.2110693418484	7.13834835604922e-10	7.32730463606229e-08	13.4890439630281
CAGL0F05709g	-5.48466063116027	2.87066438187476	-26.1148691145338	7.37789344538097e-10	7.42755234357104e-08	13.4558305431736
CAGL0G01991g	-3.37821383743113	5.93906696035269	-26.0374835245534	7.57706370052027e-10	7.48413744758936e-08	13.429010152183
CAGL0E02651g	2.97912719295202	6.27474356455363	25.9817830340561	7.72411138528901e-10	7.48809687073851e-08	13.4096483855986
CAGL0J02508g	4.86252448335896	8.36794952914437	25.8949317689774	7.9597505258998e-10	7.57623527328827e-08	13.3793627262346
CAGL0K04301g	4.21492468563167	5.43813920692201	25.7141737889227	8.47615725558938e-10	7.78468126894919e-08	13.3159542519564
